CNAPS号,银行名称,地址
************,************,************
"203701000016	","中国农业发展银行贵州省分行",""
"203701000032	","中国农业发展银行贵阳市南明区支行",""
"203701000049	","中国农业发展银行贵阳市白云区支行",""
"203203783059	","中国农业发展银行商都县支行",""
"203224282615	","中国农业发展银行辽宁省新宾满族自治县支行",""
"203227582722	","中国农业发展银行辽宁省义县支行",""
"304584040822	","华夏银行股份有限公司深圳分行福田支行",""
"304584042053	","华夏银行股份有限公司深圳中心区支行",""
"304611002136	","华夏银行股份有限公司南宁分行营业部",""
"304651010227	","华夏银行股份有限公司成都天府支行",""
"301453040010	","交通银行淄博分行临淄支行",""
"301453170105	","交通银行股份有限公司淄博桓台支行",""
"301456000405	","交通银行股份有限公司烟台分行芝罘支行",""
"301458000095	","交通银行潍坊寒亭支行",""
"301458000134	","交通银行股份有限公司潍坊金马路支行",""
"301551000227	","交通银行股份有限公司长沙府中支行",""
"301551000243	","交通银行股份有限公司长沙松桂园支行",""
"301551000309	","交通银行股份有限公司长沙八一路支行",""
"301553000020	","交通银行股份有限公司湘潭白石支行",""
"301561000011	","交通银行股份有限公司益阳分行",""
"301881000163	","交通银行股份有限公司乌鲁木齐天津北路支行",""
"301881000180	","交通银行股份有限公司乌鲁木齐红旗路支行",""
"301881000243	","交通银行股份有限公司乌鲁木齐炉院街支行",""
"302100011026	","中信银行北京京城大厦支行",""
"302100011147	","中信银行北京富力支行",""
"302528038537	","中信银行股份有限公司襄阳襄城支行",""
"302551040106	","中信银行股份有限公司长沙分行",""
"302551040139	","中信银行股份有限公司长沙三一大道支行",""
"302551040198	","中信银行长沙岳麓山支行",""
"302551040286	","中信银行股份有限公司长沙上海城支行",""
"303581051576	","中国光大银行股份有限公司广州增城支行",""
"303584038936	","中国光大银行深圳深南支行",""
"303584039054	","中国光大银行深圳景田支行",""
"303584039126	","中国光大银行深圳新城支行",""
"303584039142	","中国光大银行深圳南海大道支行",""
"303791000144	","中国光大银行西安太白路支行",""
"303791000177	","中国光大银行西安经济技术开发区支行",""
"304421011605	","华夏银行南昌分行",""
"304451010236	","华夏银行股份有限公司济南章丘支行",""
"304451040642	","华夏银行股份有限公司济南市城东支行",""
"304451042450	","华夏银行股份有限公司济南纬二路支行",""
"304451042724	","华夏银行股份有限公司济南市市南支行",""
"305205087015	","中国民生银行股份有限公司鄂尔多斯分行营业部",""
"305221065065	","中国民生银行股份有限公司沈阳五里河支行",""
"305222006198	","中国民生银行股份有限公司大连商品交易所支行",""
"305222006260	","中国民生银行股份有限公司大连西安路支行",""
"305241000033	","中国民生银行股份有限公司长春一汽支行",""
"305397023016	","中国民生银行股份有限公司泉州分行营业部",""
"305301008217	","中国民生银行股份有限公司南京弘阳支行",""
"305301008225	","中国民生银行股份有限公司南京栖霞支行",""
"305581003284	","中国民生银行股份有限公司广州芳村支行",""
"305581003292	","中国民生银行股份有限公司广州荔湾支行",""
"305581003330	","中国民生银行股份有限公司广州新塘支行",""
"305581003372	","中国民生银行股份有限公司广州一德路支行",""
"305581003410	","中国民生银行股份有限公司广州站前路支行",""
"301465000812	","交通银行威海大世界支行",""
"301475000015	","交通银行股份有限公司菏泽分行",""
"301491000120	","交通银行郑州丰产路支行",""
"301491000259	","交通银行郑州百花路支行",""
"301522000099	","交通银行黄石分行广场路支行",""
"302603044600	","中信银行股份有限公司中山分行",""
"302611029104	","中信银行南宁分行",""
"302611029188	","中信银行南宁明秀支行",""
"302653042149	","中信银行重庆江北支行",""
"302653042212	","中信银行重庆南岸经开支行",""
"305110021117	","中国民生银行股份有限公司天津鼓楼支行",""
"305110021168	","中国民生银行股份有限公司天津华苑支行",""
"305121010000	","中国民生银行石家庄分行",""
"305121010034	","中国民生银行股份有限公司石家庄维明大街支行",""
"305121010067	","中国民生银行石家庄中华南大街支行",""
"301584000081	","交通银行深圳香洲支行",""
"301584000170	","交通银行深圳龙华支行",""
"301584000299	","交通银行深圳车公庙支行",""
"301584000379	","交通银行深圳科技园支行",""
"302110023413	","中信银行股份有限公司天津静海支行",""
"302121024300	","中信银行股份有限公司石家庄友谊北大街支行",""
"302124023605	","中信银行股份有限公司唐山新华东道支行",""
"302127024714	","中信银行股份有限公司邯郸分行",""
"302134024533	","中信银行股份有限公司保定裕华路支行",""
"302584044010	","中信银行股份有限公司深圳盐田支行",""
"302584044085	","中信银行深圳西乡支行",""
"302584044116	","中信银行深圳科园支行",""
"302651041110	","中信银行成都西月城支行",""
"302651041144	","中信银行成都水碾河支行",""
"303586078102	","中国光大银行股份有限公司汕头分行",""
"303588038779	","中国光大银行股份有限公司佛山禅城支行",""
"303588038875	","中国光大银行股份有限公司佛山大沥支行",""
"303611078958	","中国光大银行股份有限公司南宁星湖支行",""
"303611079063	","中国光大银行股份有限公司南宁桂雅支行",""
"304306511661	","华夏银行股份有限公司海门支行",""
"304331040205	","华夏银行股份有限公司杭州分行营业部",""
"301584000161	","交通银行深圳天安支行",""
"301584000274	","交通银行深圳翠竹支行",""
"302331033160	","中信银行杭州西湖支行",""
"302331033209	","中信银行杭州江东支行",""
"302331053219	","中信银行股份有限公司杭州海创园支行",""
"302461037635	","中信银行股份有限公司济宁运河支行",""
"302461237642	","中信银行股份有限公司济宁邹城支行",""
"303100000356	","中国光大银行股份有限公司北京光华路支行",""
"303100000389	","中国光大银行股份有限公司北京石景山支行",""
"303100000410	","中国光大银行股份有限公司北京苏州街支行",""
"305584018213	","中国民生银行深圳福民支行",""
"305584018230	","中国民生银行股份有限公司深圳五洲支行",""
"301614000055	","交通银行柳州白云支行",""
"301614000143	","交通银行股份有限公司柳州跃进支行",""
"301614000209	","交通银行柳州鹅山支行",""
"301614000233	","交通银行柳州柳石支行",""
"301617000069	","交通银行股份有限公司桂林西城区支行",""
"302731030275	","中信银行股份有限公司昆明北站支行",""
"302791025162	","中信银行西安西大街支行",""
"302791025234	","中信银行股份有限公司沣镐路支行",""
"302821000041	","中信银行股份有限公司兰州东岗支行",""
"302821000076	","中信银行股份有限公司兰州高新区支行",""
"305126051041	","中国民生银行股份有限公司秦皇岛建设大街支行",""
"305126051050	","中国民生银行股份有限公司秦皇岛迎宾路支行",""
"305127036055	","中国民生银行股份有限公司邯郸联纺路支行",""
"305143040002	","中国民生银行股份有限公司沧州分行",""
"305143040060	","中国民生银行股份有限公司沧州黄河东路支行",""
"305473000028	","中国民生银行股份有限公司临沂西城支行",""
"305473079015	","中国民生银行股份有限公司临沂城东支行",""
"305491030066	","中国民生银行郑州航海路支行",""
"305491030138	","中国民生银行郑州未来路支行",""
"305491030195	","中国民生银行郑州南阳路支行",""
"305653011076	","中国民生银行股份有限公司重庆沙坪坝支行",""
"305653011105	","中国民生银行股份有限公司重庆朝天门支行",""
"305653011156	","中国民生银行股份有限公司重庆北部新区支行",""
"305658000014	","中国民生银行股份有限公司德阳分行",""
"305731022016	","中国民生银行股份有限公司昆明分行营业部",""
"305100001514	","中国民生银行股份有限公司北京世纪金源支行",""
"302791025291	","中信银行股份有限公司西安长缨路支行",""
"302821000068	","中信银行股份有限公司兰州七里河支行",""
"302821000092	","中信银行股份有限公司兰州定西路支行",""
"203231082851	","中国农业发展银行辽阳市弓长岭区支行",""
"203233000059	","中国农业发展银行调兵山市支行",""
"203736400061	","中国农业发展银行富源县支行",""
"203736500056	","中国农业发展银行罗平县支行",""
"203203082376	","中国农业发展银行乌兰察布市分行",""
"203205000017	","中国农业发展银行鄂尔多斯市分行",""
"203205300019	","中国农业发展银行准格尔旗支行",""
"203246200044	","中国农业发展银行靖宇县支行",""
"203249400083	","中国农业发展银行珲春市支行",""
"203192200014	","中国农业发展银行包头市固阳县支行",""
"203194700013	","中国农业发展银行喀喇沁旗支行",""
"203196000010	","中国农业发展银行呼伦贝尔市分行",""
"203196600015	","中国农业发展银行莫力达瓦达斡尔族自治旗支行",""
"203203982412	","中国农业发展银行丰镇市支行",""
"203515017020	","中国农业发展银行信阳市平桥区支行",""
"203516117102	","中国农业发展银行新县支行",""
"203521000035	","中国农业发展银行武汉市东西湖区支行",""
"203521000086	","中国农业发展银行武汉市黄陂区支行",""
"203521000094	","中国农业发展银行武汉市汉口支行",""
"105713581250	","中国建设银行股份有限公司镇远支行",""
"105714381363	","中国建设银行股份有限公司榕江支行",""
"105715081063	","中国建设银行股份有限公司都匀城中支行",""
"105715580993	","中国建设银行股份有限公司瓮安支行",""
"105731001156	","中国建设银行股份有限公司昆明东聚支行",""
"105797000050	","中国建设银行股份有限公司渭南高新区支行",""
"105797000172	","中国建设银行股份有限公司渭南华山大街支行",""
"105797200583	","中国建设银行股份有限公司韩城市盘河路支行",""
"105801000113	","中国建设银行股份有限公司安康大桥路分理处",""
"105806500013	","中国建设银行股份有限公司靖边县支行",""
"203332400025	","中国农业发展银行余姚市支行",""
"203336304032	","中国农业发展银行安吉县支行",""
"203338791150	","中国农业发展银行义乌市支行",""
"203343509012	","中国农业发展银行缙云县支行",""
"203345708064	","中国农业发展银行三门县支行",""
"105854100017	","中国建设银行股份有限公司门源支行",""
"105858000013	","中国建设银行股份有限公司玉树支行",""
"105871002014	","中国建设银行银川市鼓楼支行",""
"105871002119	","中国建设银行银川市湖滨东街支行",""
"105871002241	","中国建设银行宁夏区分行财富管理中心",""
"203205600013	","中国农业发展银行杭锦旗支行",""
"203207300015	","中国农业发展银行磴口县支行",""
"203208000014	","中国农业发展银行阿拉善盟分行",""
"203222087853	","中国农业发展银行大连市金州区支行",""
"203225282633	","中国农业发展银行辽宁省桓仁满族自治县支行",""
"305397023049	","中国民生银行股份有限公司泉州田安路支行",""
"305397123096	","民生银行股份有限公司泉州惠安支行",""
"305397223062	","中国民生银行股份有限公司泉州晋江支行",""
"305397823084	","中国民生银行股份有限公司泉州石狮支行",""
"301333000188	","交通银行温州分行营业部",""
"301333400019	","交通银行温州永嘉支行",""
"301335006049	","交通银行嘉兴开发区支行",""
"301335006104	","交通银行嘉兴南湖支行",""
"302301032946	","中信银行南京中山东路支行",""
"302301051215	","中信银行股份有限公司南京中央路支行",""
"302302032242	","中信银行无锡清扬路支行",""
"302302035216	","中信银行无锡分行营运中心",""
"302302235297	","中信银行股份有限公司江阴周庄支行",""
"303301001607	","中国光大银行股份有限公司南京湖北路支行",""
"303361001801	","中国光大银行股份有限公司合肥阜阳北路支行",""
"303651000175	","中国光大银行股份有限公司成都神仙树支行",""
"303651000302	","中国光大银行成都小天竺支行",""
"303651000845	","中国光大银行成都天府支行",""
"303653000023	","中国光大银行重庆分行九龙坡支行",""
"305221065032	","中国民生银行股份有限公司沈阳建设路支行",""
"305222006026	","中国民生银行股份有限公司大连中山支行",""
"305222006059	","中国民生银行股份有限公司大连西岗支行",""
"305222006083	","中国民生银行股份有限公司大连星海支行",""
"305222006180	","中国民生银行股份有限公司大连金州支行",""
"304528010729	","华夏银行股份有限公司襄阳分行会计部作业中心",""
"304551011513	","华夏银行股份有限公司长沙窑岭支行",""
"304563011284	","华夏银行股份有限公司郴州分行",""
"304581011796	","华夏银行股份有限公司广州增城支行",""
"305222006227	","中国民生银行股份有限公司大连八一路支行",""
"305361000015	","中国民生银行股份有限公司合肥分行",""
"305361000031	","中国民生银行股份有限公司合肥望江路支行",""
"305361000103	","中国民生银行股份有限公司合肥马鞍山路支行",""
"305378100119	","中国民生银行股份有限公司巢湖支行",""
"305391015015	","中国民生银行福州湖东支行",""
"305581003143	","中国民生银行股份有限公司广州番禺支行",""
"305581003186	","中国民生银行股份有限公司广州经济技术开发区支行",""
"305581003194	","中国民生银行股份有限公司广州羊城支行",""
"305581003225	","中国民生银行股份有限公司广州科技园支行",""
"305581003233	","中国民生银行股份有限公司广州珠江支行",""
"301521001032	","交通银行湖北省分行南京路支行",""
"301521002003	","交通银行湖北省分行花桥支行",""
"301521007007	","交通银行湖北省分行汉阳支行",""
"304331040264	","华夏银行股份有限公司杭州分行建国支行",""
"304331040297	","华夏银行股份有限公司杭州分行余杭支行",""
"304331042104	","华夏银行股份有限公司杭州分行",""
"305110021035	","中国民生银行天津大沽南路支行",""
"305110021051	","中国民生银行天津河东支行",""
"305110021094	","中国民生银行股份有限公司天津河北支行",""
"305110021141	","中国民生银行天津津南支行",""
"305110021205	","中国民生银行股份有限公司天津西青支行",""
"305452527157	","中国民生银行股份有限公司青岛胶州支行",""
"305455059000	","中国民生银行股份有限公司东营分行",""
"305458101009	","中国民生银行股份有限公司潍坊安丘支行",""
"305491030058	","中国民生银行郑州商都路支行",""
"301363000084	","交通银行股份有限公司蚌埠宝龙支行",""
"301363001036	","交通银行股份有限公司蚌埠淮上区支行",""
"301364001208	","淮南交行田家庵支行",""
"301391000235	","交通银行股份有限公司福建自贸试验区福州片区支行",""
"301393000079	","交通银行厦门分行大唐支行",""
"302493039422	","中信银行股份有限公司洛阳新区支行",""
"302493039455	","中信银行洛阳古城支行",""
"302495039914	","中信银行平顶山分行营业部",""
"302496039820	","中信银行安阳人民大道支行",""
"302521038152	","中信银行股份有限公司武汉青山支行",""
"304653010708	","华夏银行重庆渝北支行",""
"304653016823	","华夏银行股份有限公司重庆江津支行",""
"304653041537	","华夏银行重庆分行九龙坡支行",""
"304653041596	","华夏银行股份有限公司重庆分行会计部",""
"304653041922	","华夏银行重庆分行北部新区支行",""
"305305026009	","中国民生银行股份有限公司苏州分行",""
"305305026025	","中国民生银行苏州新区支行",""
"305305026092	","中国民生银行苏州相城支行",""
"305305026113	","中国民生银行苏州吴中支行",""
"305306049010	","中国民生银行股份有限公司南通分行营业部",""
"305651000204	","中国民生银行股份有限公司成都骡马市支行",""
"305651000212	","中国民生银行股份有限公司成都西体路支行",""
"305651000245	","中国民生银行股份有限公司成都建设路支行",""
"305651000253	","中国民生银行股份有限公司成都双流支行",""
"305651000261	","中国民生银行股份有限公司成都金牛支行",""
"301493000125	","交通银行洛阳分行文化支行",""
"301493000176	","交通银行洛阳分行上阳支行",""
"301521001024	","交通银行湖北省分行保成路支行",""
"301521002020	","交通银行湖北省分行二七支行",""
"302290031497	","中信银行股份有限公司上海外高桥支行",""
"302290031528	","中信银行股份有限公司上海南外滩支行",""
"303651000280	","中国光大银行成都三洞桥支行",""
"303651000870	","中国光大银行股份有限公司成都蜀汉路支行",""
"303653000015	","中国光大银行重庆分行营业部",""
"303653000040	","中国光大银行重庆分行渝中支行",""
"303653000058	","中国光大银行重庆分行江北支行",""
"304337530796	","华夏银行股份有限公司绍兴诸暨店口小微企业专营支行",""
"304345010888	","华夏银行股份有限公司台州分行",""
"304361010835	","华夏银行股份有限公司合肥政务区支行",""
"304391022574	","华夏银行股份有限公司福州长乐支行",""
"304397318782	","华夏银行股份有限公司泉州南安支行",""
"305127036047	","中国民生银行股份有限公司邯郸建设大街支行",""
"305148048027	","中国民生银行股份有限公司衡水榕花街支行",""
"305148848047	","中国民生银行股份有限公司安平支行",""
"305191064019	","中国民生银行股份有限公司呼和浩特分行营业部",""
"305191064060	","中国民生银行股份有限公司呼和浩特兴安北路支行",""
"305391025027	","中国民生银行福州江南水都美域社区支行",""
"305391025078	","中国民生银行福州海润花园社区支行",""
"305393000010	","中国民生银行股份有限公司厦门分行",""
"305393000108	","中国民生银行股份有限公司厦门前埔支行",""
"305393000124	","中国民生银行股份有限公司厦门观音山支行",""
"301332000241	","交通银行股份有限公司宁波孔雀支行",""
"301332400163	","交通银行股份有限公司宁波城西支行",""
"301333000032	","交通银行温州黎明支行",""
"301333000081	","交通银行温州中山支行",""
"301333000145	","交通银行温州商贸城支行",""
"302226221826	","中信银行营口大石桥支行",""
"304731041182	","华夏银行股份有限公司昆明东进支行",""
"304731042533	","华夏银行昆明分行营业部",""
"304731042541	","华夏银行昆明翠湖支行",""
"304731042568	","华夏银行昆明分行东风支行",""
"305332019112	","中国民生银行股份有限公司宁波海曙支行",""
"305332219094	","中国民生银行股份有限公司宁波宁海支行",""
"305332519151	","中国民生银行股份有限公司宁波杭州湾新区支行",""
"305333028112	","中国民生银行股份有限公司温州瓯海小微企业专营支行",""
"305335057013	","中国民生银行股份有限公司嘉兴分行",""
"305651000323	","中国民生银行股份有限公司崇州支行",""
"305651000331	","中国民生银行股份有限公司郫县支行",""
"305651000340	","中国民生银行股份有限公司新津支行",""
"305651000366	","中国民生银行股份有限公司成都荷花池支行",""
"305653011009	","中国民生银行股份有限公司重庆分行",""
"304161041022	","华夏银行太原滨河西路支行",""
"304161041080	","华夏银行太原长风街支行",""
"203563400829	","中国农业发展银行桂阳县支行",""
"203563500810	","中国农业发展银行永兴县支行",""
"203563600835	","中国农业发展银行宜章县支行",""
"203565000908	","中国农业发展银行永州市分行营业部",""
"203565400936	","中国农业发展银行道县支行",""
"105806200019	","中国建设银行股份有限公司神木县支行",""
"105806369437	","中国建设银行股份有限公司府谷县新民镇支行",""
"105821000995	","中国建设银行股份有限公司兰州城关支行",""
"105821001141	","中国建设银行股份有限公司兰州张掖路分理处",""
"105821001213	","中国建设银行股份有限公司兰州盐场堡储蓄所",""
"203567601040	","中国农业发展银行溆浦县支行",""
"203569701175	","中国农业发展银行永顺县支行",""
"203586500729	","中国农业发展银行揭阳市分行",""
"203586800732	","中国农业发展银行惠来县支行",""
"203586900692	","中国农业发展银行潮州市分行",""
"203277284755	","中国农业发展银行明水县支行",""
"203278484671	","中国农业发展银行嫩江县支行",""
"203290000039	","中国农业发展银行上海市浦东分行",""
"203290000063	","中国农业发展银行上海市宝山区支行",""
"203290000098	","中国农业发展银行上海市青浦区支行",""
"105872001109	","中国建设银行股份有限公司石嘴山文明路支行",""
"105872101004	","中国建设银行股份有限公司平罗支行",""
"105873201006	","中国建设银行股份有限公司青铜峡支行",""
