CNAPS号,银行名称,地址
************,************,************
"103581004439	","中国农业银行股份有限公司广州房建支行",""
"103581004519	","中国农业银行股份有限公司广州新大地宾馆支行",""
"103581004543	","中国农业银行股份有限公司广州壹马大厦支行",""
"103581004828	","中国农业银行股份有限公司广州新窖支行",""
"103581004932	","中国农业银行股份有限公司广州江南西路支行",""
"103581006882	","中国农业银行股份有限公司广州萝岗支行",""
"103581006920	","中国农业银行股份有限公司广州钟落潭支行",""
"103593565604	","中国农业银行股份有限公司封开县支行",""
"103593766143	","中国农业银行股份有限公司云浮兴云东路支行",""
"103593766194	","中国农业银行股份有限公司云浮云丰支行",""
"103653009081	","中国农业银行股份有限公司重庆北碚静观支行",""
"103653009145	","中国农业银行股份有限公司重庆北碚水土支行",""
"103653009170	","中国农业银行股份有限公司重庆北碚公园分理处",""
"103653010025	","中国农业银行股份有限公司重庆巴南花溪支行",""
"103641017302	","中国农业银行海口金城支行",""
"103641019902	","中国农业银行海口红坎坡支行",""
"103641022607	","中国农业银行股份有限公司海口港湾支行",""
"103641032400	","中国农业银行股份有限公司文昌文航支行",""
"103641034209	","中国农业银行股份有限公司文昌城郊分理处",""
"103651086370	","中国农业银行股份有限公司大邑董场分理处",""
"103651086976	","中国农业银行股份有限公司邛崃双江分理处",""
"103651087231	","中国农业银行股份有限公司成都三洞桥支行",""
"103651089194	","中国农业银行股份有限公司成都贝森路分理处",""
"103651090029	","中国农业银行股份有限公司成都商鼎国际支行",""
"103641029705	","中国农业银行股份有限公司海口海府分理处",""
"103641032709	","中国农业银行股份有限公司文昌会文分理处",""
"103641033409	","中国农业银行股份有限公司文昌东郊支行",""
"103641034102	","中国农业银行股份有限公司文昌昌洒分理处",""
"103641037004	","中国农业银行琼海人民路支行",""
"103653006155	","中国农业银行股份有限公司重庆南岸正联支行",""
"103653007043	","中国农业银行股份有限公司大渡口支行营业部",""
"103653007078	","中国农业银行股份有限公司重庆九龙坡中梁山支行",""
