CNAPS号,银行名称,地址
************,************,************
"314565700202	","湖南江华农村商业银行股份有限公司城南分理处",""
"314581000011	","广州农村商业银行股份有限公司",""
"314581001014	","广州农村商业银行股份有限公司番禺支行",""
"314581001047	","广州农村商业银行股份有限公司天河支行",""
"314581001119	","广州农村商业银行股份有限公司增城支行",""
"314706168029	","铜仁农村商业银行股份有限公司黄道支行",""
"314707093159	","贵州兴义农村商业银行股份有限公司桔山支行兴盛分理处",""
"314707093280	","贵州兴义农村商业银行股份有限公司顶效支行",""
"314709073346	","贵州毕节农村商业银行股份有限公司生机支行",""
"314709073467	","贵州毕节农村商业银行股份有限公司龙场支行",""
"314303200289	","江苏沛县农村商业银行股份有限公司湖西支行",""
"314303400045	","江苏睢宁农村商业银行股份有限公司官山支行",""
"402139600231	","阳原县农村信用合作联社北苑分社",""
"402139900446	","怀来县农村信用合作联社大山口信用社",""
"402139900518	","怀来县农村信用合作联社李官营信用社",""
"402168010040	","晋城市城区农村信用合作联社康乐分社",""
"402168010099	","山西省晋城市城区农村信用合作联社南城信用社",""
"402168010138	","山西省晋城市城区农村信用合作联社南大街分社",""
"402168010242	","山西省晋城市城区农村信用合作联社开发区信用社",""
"402168030024	","山西泽州农村商业银行股份有限公司泽州南路支行",""
"402196080313	","呼伦贝尔农村商业银行股份有限公司",""
"402196480345	","内蒙古牙克石市农村信用合作社联合社",""
"402181000220	","山西运城农村商业银行股份有限公司振兴支行",""
"402181000551	","山西运城农村商业银行股份有限公司席张分理处",""
"402221095016	","新民市农村信用合作联社城郊信用社",""
"402221095065	","新民市农村信用合作联社大红旗信用社",""
"402221095170	","新民市农村信用合作联社罗家房信用社",""
"402221095223	","新民市农村信用合作联社张家屯信用社",""
"402221095258	","新民市农村信用合作联社前当堡信用社",""
"402139900462	","怀来县农村信用合作联社官厅信用社",""
"402140100025	","涿鹿县农村信用合作联社河东信用社",""
"402140200059	","赤城县农村信用合作联社云州信用社",""
"402140200155	","赤城县农村信用合作联社田家窑信用社",""
"402140200260	","赤城县农村信用合作联社马营分社",""
"402146700039	","霸州市农村信用合作联社隆泰储蓄所",""
"402146700055	","霸州市农村信用合作联社永安里储蓄所",""
"402163400160	","山西省灵丘县农村信用合作联社独峪信用社",""
"402163400250	","灵丘县农村信用合作联社新建北路信用社",""
"402163500040	","山西省浑源县农村信用合作联社东坊城信用社",""
"402163500146	","山西省浑源县农村信用合作联社千佛岭信用社",""
"402163500226	","山西省浑源县农村信用合作联社北岳信用社",""
"402172300242	","山西省河曲县农村信用合作联社北元分社",""
"402172300267	","山西省河曲县农村信用合作联社南元分社",""
"402172400081	","山西省保德县农村信用合作联社贾家峁信用社",""
"402172400145	","山西省保德县农村信用合作联社韩家川信用社",""
"402172400207	","山西省保德县农村信用合作联社梅花路分社",""
"402177000433	","山西尧都农村商业银行股份有限公司临纺支行",""
"402142500047	","丰宁满族自治县农村信用合作联社南关信用社",""
"402142500098	","丰宁满族自治县农村信用合作联社杨木栅子信用社",""
"402142500135	","丰宁满族自治县农村信用合作联社北头营信用社",""
"402164100030	","山西省怀仁县农村信用合作联社鹅毛口分社",""
"402164100097	","山西省怀仁县农村信用合作联社亲和信用社",""
"314311716010	","江苏东台农村商业银行股份有限公司新街支行",""
"314311723017	","江苏东台农村商业银行股份有限公司六灶支行",""
"314311726015	","江苏东台农村商业银行股份有限公司海丰支行",""
"314311732017	","江苏东台农村商业银行股份有限公司东亭支行",""
"314311740017	","江苏东台农村商业银行股份有限公司东风支行",""
"316341400015	","浙商银行股份有限公司衢州龙游支行",""
"316345200012	","浙商银行股份有限公司台州临海支行",""
"316451000016	","浙商银行股份有限公司济南分行",""
"316584000030	","浙商银行股份有限公司深圳宝安支行",""
"316584000064	","浙商银行股份有限公司深圳南山支行",""
"314397875210	","福建石狮农村商业银行股份有限公司八七路支行",""
"314397875269	","福建石狮农村商业银行股份有限公司容卿分理处",""
"314397875332	","福建石狮农村商业银行股份有限公司鸿山支行",""
"320143000049	","沧县吉银村镇银行股份有限公司迎宾支行",""
"320144200094	","任丘村镇银行股份有限公司梅园支行",""
"320144700074	","东光青隆村镇银行股份有限公司",""
"314301003131	","江苏紫金农村商业银行股份有限公司泰山支行",""
"314301003203	","江苏紫金农村商业银行股份有限公司浦南支行",""
"314301004162	","江苏紫金农村商业银行股份有限公司新庄支行",""
"314301005018	","江苏紫金农村商业银行股份有限公司浦口支行营业部",""
"314301006086	","江苏紫金农村商业银行股份有限公司瓜埠支行",""
"314304000108	","江苏江南农村商业银行股份有限公司常州市礼嘉支行",""
"314304000124	","江苏江南农村商业银行股份有限公司常州市坊前支行",""
"314304000288	","江苏江南农村商业银行股份有限公司常州市郑陆支行",""
"314304000296	","江苏江南农村商业银行股份有限公司常州市横山桥支行",""
"314304000358	","江苏江南农村商业银行股份有限公司常州市奔牛支行",""
"314306667209	","江苏启东农村商业银行股份有限公司民主支行",""
"314306667225	","江苏启东农村商业银行股份有限公司万安支行",""
"314306667268	","江苏启东农村商业银行股份有限公司圩角支行",""
"314306667313	","江苏启东农村商业银行股份有限公司新义支行",""
"314306667364	","江苏启东农村商业银行股份有限公司合作支行",""
"314311300222	","江苏阜宁农村商业银行股份有限公司罗桥支行",""
"314311300239	","江苏阜宁农村商业银行股份有限公司城中支行",""
"314311300302	","江苏阜宁农村商业银行股份有限公司陈良支行",""
"314311300335	","江苏阜宁农村商业银行股份有限公司新区支行",""
"314311300351	","江苏阜宁农村商业银行股份有限公司开发区支行",""
"314312500055	","江苏江都农村商业银行股份有限公司高徐支行",""
"314312500135	","江苏江都农村商业银行股份有限公司永安支行",""
"314312500178	","江苏江都农村商业银行股份有限公司邵伯支行",""
"319376074422	","徽商银行股份有限公司六安梅山南路支行",""
"319377100051	","徽商银行股份有限公司宣城宣州支行",""
"320100004010	","北京大兴九银村镇银行股份有限公司",""
"320100010011	","北京顺义银座村镇银行股份有限公司",""
"322290001102	","上海农商银行曹行支行",""
"322290001160	","上海农商银行陈行支行",""
"322290005058	","上海农商银行大团支行",""
"322290005111	","上海农商银行老港支行",""
"322290005154	","上海农商银行三灶支行",""
"320902801038	","新疆石河子交银村镇银行股份有限公司西古城镇支行",""
"321653001196	","重庆三峡银行股份有限公司西永支行",""
"321653001694	","重庆三峡银行股份有限公司凤城支行",""
"321667701619	","重庆三峡银行股份有限公司奉节支行",""
"322290001268	","上海农商银行古美支行",""
"402110012471	","天津农村商业银行股份有限公司宝坻海滨分理处",""
"402110012498	","天津农村商业银行股份有限公司宝坻南关大街分理处",""
"402110012535	","天津农村商业银行股份有限公司宝坻苑家楼分理处",""
"402110012578	","天津农村商业银行股份有限公司宝坻北新楼分理处",""
"314302202407	","江苏江阴农村商业银行股份有限公司祝塘支行",""
"314302300124	","江苏宜兴农村商业银行股份有限公司归径支行",""
"314302300446	","江苏宜兴农村商业银行股份有限公司川埠支行",""
"314302300655	","江苏宜兴农村商业银行股份有限公司环科园支行",""
"314306667348	","江苏启东农村商业银行股份有限公司王鲍支行",""
"314306667428	","江苏启东农村商业银行股份有限公司新安支行",""
"314306667469	","江苏启东农村商业银行股份有限公司惠萍支行",""
"314306667485	","江苏启东农村商业银行股份有限公司海防支行",""
"314306667557	","江苏启东农村商业银行股份有限公司东元支行",""
"314312000340	","江苏扬州农村商业银行股份有限公司文昌支行",""
"314312000420	","江苏扬州农村商业银行股份有限公司扬子江支行",""
"314312000479	","江苏扬州农村商业银行股份有限公司运西支行",""
"314312000639	","江苏扬州农村商业银行股份有限公司维扬支行",""
"314312100019	","江苏高邮农村商业银行股份有限公司营业部",""
"317110010043	","天津农村商业银行股份有限公司东丽齐河路分理处",""
"317110010125	","天津农村商业银行股份有限公司东丽新立支行",""
"317110010141	","天津农村商业银行股份有限公司东丽卧河分理处",""
"317110010168	","天津农村商业银行股份有限公司东丽詹滨西里分理处",""
